geneid	Chr	Start	End	Strand	Length	gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
slr1748	CHR	1011975	1012619	+	645	NA	3117	4447	2110	1906	203	596	756	540	7	11	37	7
ssl3177	CHR	1012616	1012888	-	273	NA	4411	4828	2439	2301	62	239	258	213	11	8	17	5
sll1633	CHR	1013045	1014337	-	1293	ftsZ	9743	12499	12320	11104	1128	3385	4179	2698	37	26	41	10
sll1632	CHR	1014587	1015396	-	810	NA	984	1021	1260	1170	261	501	551	562	4	4	5	6
slr1751	CHR	1015511	1016782	+	1272	NA	13240	17034	20622	17329	2797	5249	9306	4935	45	44	151	43
slr1752	CHR	1016830	1017495	+	666	NA	1559	1532	1922	1872	610	2076	1994	1491	13	11	24	9
sll1144	CHR	1017600	1018493	-	894	rsmH	1007	1316	1399	1348	234	544	493	552	9	8	10	3
slr1218	CHR	1018650	1019126	+	477	NA	429	474	302	204	93	303	589	366	6	6	6	4
slr1219	CHR	1019155	1019583	+	429	ureE	166	224	212	137	90	171	197	274	5	3	2	0
slr1220	CHR	1019808	1020761	+	954	NA	3235	4070	4703	4848	823	2012	3286	2048	29	18	45	15
sll1143	CHR	1022278	1024659	-	2382	pcrA	2893	3843	4035	3363	534	1660	2019	1725	19	17	21	11
sll1142	CHR	1024825	1025346	-	522	NA	709	830	941	907	310	1324	2808	1837	6	4	18	2
slr1223	CHR	1025519	1026442	+	924	NA	1675	2745	2668	1524	621	670	737	723	4	8	3	2
slr1224	CHR	1026589	1027737	+	1149	NA	1383	1769	2024	1642	319	577	712	663	7	3	9	1
slr1225	CHR	1027844	1029331	+	1488	NA	761	872	1004	905	331	594	643	805	7	5	6	4
sll1138	CHR	1029337	1030083	-	747	NA	363	543	697	457	397	629	529	497	2	3	8	1
slr1226	CHR	1030201	1030989	+	789	NA	1340	1317	1537	1777	367	827	1135	904	4	3	7	0
slr1227	CHR	1031202	1033787	+	2586	NA	9379	12097	7422	5908	591	1487	2835	1867	36	32	59	12
slr1228	CHR	1033902	1035545	+	1644	prfC	5334	7129	8963	7599	776	1657	2002	1668	12	19	30	6
slr1229	CHR	1035593	1037089	+	1497	NA	1421	2240	2173	1718	214	569	764	858	5	5	3	3
slr1230	CHR	1037189	1038052	+	864	NA	406	578	693	644	205	385	278	407	5	1	1	0
sll1135	CHR	1038038	1039042	-	1005	NA	479	706	774	426	198	325	185	400	3	6	9	1
slr1232	CHR	1039196	1039732	+	537	NA	155	147	266	327	208	338	343	365	4	1	12	2
ssr2047	CHR	1040092	1040355	+	264	NA	355	338	314	286	109	319	466	324	1	5	16	3
slr1233	CHR	1040531	1042258	+	1728	NA	1957	3006	3710	2230	624	1053	1260	1008	10	13	25	7
ssr2049	CHR	1042390	1042557	+	168	NA	190	232	208	225	44	167	229	140	3	1	1	1
slr1234	CHR	1042609	1042953	+	345	NA	2072	2860	3184	2521	230	903	1086	708	3	2	7	3
slr1235	CHR	1042999	1043880	+	882	NA	3339	4357	4298	3884	325	727	1682	1125	4	5	18	10
slr1236	CHR	1043917	1044450	+	534	NA	2082	2456	3088	2955	229	812	1051	588	13	8	29	2
ssl2250	CHR	1044517	1044693	-	177	NA	291	495	616	591	349	1288	770	389	4	2	8	2
sll1132	CHR	1044915	1046366	-	1452	NA	667	1059	885	751	264	624	320	613	8	4	6	2
sll1131	CHR	1046402	1046830	-	429	NA	364	462	544	506	81	278	205	220	2	3	3	0
slr1237	CHR	1047005	1048357	+	1353	NA	7044	9434	17117	14258	1001	2322	3834	1803	37	33	25	8
sll1130	CHR	1048406	1048753	-	348	NA	7448	7571	12476	9638	702	2336	3470	1623	19	18	12	3
ssl2245	CHR	1048750	1049016	-	267	NA	5020	5235	8093	7498	353	1062	1638	860	17	32	18	8
sll1129	CHR	1049517	1050407	-	891	NA	719	819	1167	1033	209	374	336	485	3	2	6	0
ssr2060	CHR	1050460	1050729	+	270	NA	161	244	239	207	42	101	96	95	0	2	1	1
ssr2061	CHR	1050812	1051078	+	267	grxC	1417	2273	1516	1357	62	242	498	342	7	11	13	7
slr1238	CHR	1051159	1052121	+	963	gshB	3966	5221	3885	3273	283	750	1330	1024	12	14	21	3
ssr2062	CHR	1052518	1052784	+	267	NA	989	972	1626	1810	1896	2782	2084	2196	33	27	35	12
sll1127	CHR	1052927	1053754	-	828	menB	2353	3476	5923	4467	429	1214	1115	882	19	19	28	7
slr1239	CHR	1053955	1055547	+	1593	pntA	7127	9744	18310	14389	2897	5265	4446	2941	32	29	44	6
slr1240	CHR	1055574	1056113	+	540	NA	441	597	1452	1152	675	1107	919	558	2	7	5	0
slr1241	CHR	1056119	1056466	+	348	NA	198	253	627	567	391	943	700	496	3	3	1	0
ssr2067	CHR	1056720	1056944	+	225	NA	89	135	319	306	119	234	248	181	1	0	0	0
slr1434	CHR	1056985	1058427	+	1443	pntB	1211	1830	4656	3141	1434	2182	2390	1727	11	15	7	0
slr1435	CHR	1058537	1059820	+	1284	NA	1172	1783	1880	1437	418	857	835	908	3	1	6	1
slr1436	CHR	1059922	1060773	+	852	NA	842	1504	1485	1280	195	467	392	412	2	1	1	0
slr1437	CHR	1060901	1061239	+	339	NA	370	501	1064	1162	430	1020	730	606	7	4	8	1
slr1438	CHR	1061242	1062111	+	870	NA	1532	1611	4210	3768	549	1155	786	594	11	5	16	2
sll1362	CHR	1062238	1065204	-	2967	ileS	5232	6466	10021	8851	1111	2992	2842	2672	26	14	36	11
ssr2406	CHR	1065398	1065622	+	225	NA	156	236	288	221	46	182	227	191	0	2	2	0
sll1360	CHR	1065660	1069010	-	3351	dnaX	1295	1615	1872	1592	724	1649	1228	1692	3	11	21	5
slr1440	CHR	1069178	1069609	+	432	NA	80	122	120	139	66	167	178	160	0	2	1	0
sll1359	CHR	1069666	1071702	-	2037	NA	221	323	653	601	655	1162	792	846	2	4	1	0
sll1358	CHR	1071734	1072918	-	1185	NA	420	537	1491	1419	1009	1305	1099	788	3	4	2	0
sll1356	CHR	1073080	1075629	-	2550	NA	970	1236	3338	2517	1757	3131	2369	2238	12	14	13	6
slr1441	CHR	1075996	1076454	+	459	NA	43	84	67	47	87	184	76	174	1	2	3	3
sll1355	CHR	1076474	1077010	-	537	NA	165	224	234	195	58	157	106	115	5	11	19	8
slr1442	CHR	1077755	1078612	+	858	NA	867	1367	1526	1249	346	627	622	782	14	9	33	11
slr1443	CHR	1078657	1080501	+	1845	NA	756	973	915	767	307	485	345	609	3	1	9	1
slr1444	CHR	1080695	1081696	+	1002	NA	269	299	370	343	186	287	186	323	2	4	6	1
ssr2422	CHR	1081887	1082141	+	255	NA	264	372	334	254	123	289	259	296	3	4	5	2
ST6803t11	CHR	1082298	1082371	-	74	NA	108	113	150	353	78	499	882	910	30	24	33	18
sll1354	CHR	1082437	1084716	-	2280	recJ	2704	3085	3549	3067	728	1507	1589	1417	12	15	23	4
sll1353	CHR	1084757	1087753	-	2997	NA	900	1291	1199	957	650	1378	940	1285	7	6	19	5
sll1352	CHR	1087772	1089190	-	1419	NA	367	554	453	415	183	418	233	490	3	1	2	0
slr1448	CHR	1089400	1090323	+	924	NA	476	561	674	614	162	328	299	282	1	2	1	1
slr1449	CHR	1090818	1091279	+	462	NA	443	553	685	576	142	437	536	411	6	5	17	3
slr1450	CHR	1091317	1091631	+	315	NA	276	350	385	312	37	107	122	86	4	2	7	1
sll1350	CHR	1091698	1092894	-	1197	NA	582	637	688	625	216	486	309	464	5	4	12	3
sll1349	CHR	1092925	1093590	-	666	NA	285	399	413	405	116	407	701	500	0	1	2	1
sll1348	CHR	1093626	1094495	-	870	queG	711	909	1448	1364	129	243	213	247	3	2	3	1
sll1282	CHR	1094649	1095143	-	495	ribH	2386	2896	5376	4221	470	1734	983	1078	12	13	8	6
ST6803t12	CHR	1095712	1095793	-	82	NA	275	230	280	427	45	147	298	365	17	33	45	23
slr1356	CHR	1097077	1098063	+	987	NA	38268	47476	51911	47695	3042	11005	23897	13249	129	107	147	53
sll1277	CHR	1099214	1100368	-	1155	recF	723	1154	820	638	219	413	264	419	4	3	5	0
sll1276	CHR	1100410	1102014	-	1605	NA	1949	3283	2673	1727	326	603	556	720	10	12	11	3
sll1275	CHR	1102283	1104058	-	1776	pyk	4753	6060	10022	9071	1145	2660	4126	2928	20	30	46	15
slr1362	CHR	1104246	1104647	+	402	NA	773	1295	1160	1037	274	611	678	529	2	1	4	2
sll1274	CHR	1105030	1105545	-	516	NA	386	361	369	414	89	205	235	240	2	2	7	1
slr1363	CHR	1105666	1107168	+	1503	pap	1154	1564	1953	1664	394	837	862	913	8	5	9	3
slr1364	CHR	1107242	1108330	+	1089	bioB	3020	3755	3393	3172	694	1563	1632	1106	10	11	15	4
slr1365	CHR	1108314	1108967	+	654	NA	1232	1798	1865	1637	119	373	515	328	8	4	6	2
slr1366	CHR	1108967	1109452	+	486	lspA	713	903	869	737	65	156	241	185	0	2	5	1
sll1273	CHR	1109620	1111044	-	1425	NA	942	1315	1287	1020	336	1133	1454	1130	3	6	6	2
sll1272	CHR	1111185	1111955	-	771	NA	359	431	399	337	268	631	709	581	3	1	8	3
sll1271	CHR	1112531	1114249	-	1719	NA	1785	2666	1293	1117	365	891	3477	1602	5	1	3	5
sll1270	CHR	1114429	1116012	-	1584	NA	8634	9424	1964	1708	390	1197	3320	1601	13	21	16	6
ssl2501	CHR	1116360	1116629	-	270	phaP	4645	5016	3739	3874	1710	7097	21867	6604	25	23	68	21
slr1367	CHR	1117143	1119674	+	2532	NA	13431	14342	13618	12734	1466	3759	6022	2913	28	24	35	8
slr1368	CHR	1119916	1120509	+	594	cbiT	939	1289	1253	933	174	306	343	381	4	1	3	0
slr1369	CHR	1120643	1121524	+	882	NA	2705	4051	5098	3901	860	1395	1656	1281	14	16	27	6
sll1268	CHR	1121627	1123144	-	1518	NA	3908	4420	2795	2386	516	1167	1792	1027	12	9	28	11
sll1267	CHR	1123441	1123890	-	450	NA	6794	8432	3619	4080	620	1737	10220	3576	23	30	70	19
sll1265	CHR	1124071	1130007	-	5937	NA	4214	5506	4066	2979	1252	2230	3041	2964	34	29	43	15
sll0877	CHR	1130313	1131683	-	1371	NA	1467	1858	1949	1702	349	666	732	866	8	10	34	8
slr0875	CHR	1131810	1132247	+	438	mscL	804	1224	1206	1132	271	529	998	684	2	2	6	3
sll0876	CHR	1132264	1132899	-	636	ruvA	1029	1395	1720	1354	145	320	298	317	3	4	4	1
sll0875	CHR	1132914	1133690	-	777	NA	644	854	1088	892	125	310	266	306	4	3	5	2
slr0876	CHR	1133879	1135108	+	1230	NA	3391	3693	5658	4494	426	1122	1957	1360	11	11	14	2
ssr1480	CHR	1135337	1135588	+	252	NA	21975	33068	43087	42456	1693	5373	10163	6930	90	76	65	18
slr0877	CHR	1135716	1137167	+	1452	gatA	5258	6741	8606	7387	720	1701	2439	1806	23	16	10	4
slr0878	CHR	1137216	1138112	+	897	NA	1178	1325	1235	1171	86	189	380	278	2	8	5	0
slr0879	CHR	1138210	1138608	+	399	gcvH	762	1244	1572	1404	319	793	944	699	6	4	7	3
slr0880	CHR	1138702	1140474	+	1773	NA	1168	1299	1803	1799	352	796	718	907	3	6	5	3
sll0873	CHR	1140497	1141645	-	1149	nspC	854	1053	1314	1134	237	632	510	574	2	0	9	4
slr0881	CHR	1142101	1142412	+	312	NA	477	590	1042	921	153	344	341	271	3	3	6	0
slr0882	CHR	1143053	1144231	+	1179	NA	2186	2314	2197	2112	250	628	963	734	8	13	19	4
slr0883	CHR	1144728	1146173	+	1446	NA	2088	2654	1612	1441	212	494	582	570	14	10	14	3
sll0871	CHR	1146290	1146718	-	429	NA	628	766	604	569	169	357	324	349	6	4	9	1
slr0884	CHR	1147079	1148098	+	1020	gap	3687	4250	3473	2734	331	684	1097	690	5	6	7	3
slr0885	CHR	1148722	1149297	+	576	NA	189	246	261	265	147	499	407	378	3	1	3	0
sll0869	CHR	1149471	1150067	-	597	aat	195	269	262	217	70	187	85	107	1	3	1	2
sll0868	CHR	1150122	1151033	-	912	lipA	514	781	617	433	260	399	290	499	2	2	7	1
sll0867	CHR	1151139	1152431	-	1293	NA	543	647	727	672	242	583	558	642	3	6	16	0
slr0886	CHR	1152549	1153292	+	744	fabG	2281	4372	6790	4295	462	974	1052	746	7	6	7	1
slr0887	CHR	1153292	1154101	+	810	NA	916	1396	2422	1771	139	347	236	306	4	4	4	1
slr0888	CHR	1154330	1154836	+	507	NA	1025	1303	2680	2661	2165	3545	3092	2464	8	4	25	9
slr0889	CHR	1154857	1156083	+	1227	NA	1402	1703	3305	2626	353	675	635	588	13	9	14	6
ssr1499	CHR	1156171	1156503	+	333	NA	45	57	47	33	102	221	60	244	1	0	0	0
slr0890	CHR	1156580	1156975	+	396	NA	109	187	226	193	80	183	98	159	1	0	2	0
sll0865	CHR	1157029	1158909	-	1881	uvrC	300	344	410	366	252	716	540	787	1	3	10	6
slr0891	CHR	1159029	1160804	+	1776	NA	534	529	561	554	182	483	311	489	9	3	5	0
sll0864	CHR	1160787	1161260	-	474	NA	204	302	351	311	78	147	73	137	1	1	0	0
sll0863	CHR	1161441	1161824	-	384	NA	263	364	497	430	25	96	105	103	2	1	3	1
sll0862	CHR	1161856	1163367	-	1512	NA	3696	5578	7206	5220	719	1843	2351	1820	10	10	26	9
sll0861	CHR	1163421	1164338	-	918	murQ	1686	2609	2856	2024	218	499	655	603	5	8	11	1
sll0860	CHR	1164496	1165017	-	522	NA	817	1068	1192	700	434	596	694	570	4	8	8	3
sll1317	CHR	1165087	1166073	-	987	petA	11502	11527	19933	20027	2036	6851	10710	6287	35	52	79	17
sll1316	CHR	1166186	1166728	-	543	NA	6646	8019	14316	15092	2173	7159	9455	5653	25	25	47	10
ssl2598	CHR	1167053	1167247	-	195	psbH	2682	3687	6133	5163	586	1922	2410	1431	34	26	60	14
ssl2595	CHR	1167510	1167779	-	270	NA	1144	1555	1911	2203	428	1131	1434	1143	22	15	41	13
sll1315	CHR	1167961	1168950	-	990	NA	739	1078	1092	936	183	683	465	439	4	2	4	1
sll1314	CHR	1169078	1170187	-	1110	NA	330	482	428	414	282	820	386	581	10	7	10	1
sll1308	CHR	1179926	1180666	-	741	NA	282	245	440	420	104	302	145	275	3	2	0	0
slr1406	CHR	1181064	1181609	+	546	NA	394	422	574	607	176	589	545	436	13	7	9	4
slr1407	CHR	1181716	1182585	+	870	NA	393	548	567	545	134	331	249	273	5	10	5	1
slr1409	CHR	1182665	1183645	+	981	NA	468	697	792	717	139	395	360	356	7	7	13	2
slr1410	CHR	1183660	1184664	+	1005	NA	637	939	1260	953	314	634	479	608	12	8	13	3
sll1307	CHR	1184711	1185238	-	528	NA	472	562	2219	1919	197	582	734	469	7	6	6	1
sll1306	CHR	1185300	1186307	-	1008	NA	453	666	3966	2662	608	1291	1386	936	6	7	5	0
sll1305	CHR	1186311	1187198	-	888	NA	291	396	2496	1749	710	1712	1679	1065	3	5	2	1
sll1304	CHR	1187219	1188082	-	864	NA	143	206	1616	1195	205	632	547	383	4	3	0	0
sll1785	CHR	1188079	1188885	-	807	NA	298	366	2194	1598	381	897	849	524	5	7	8	0
sll1784	CHR	1189110	1189913	-	804	NA	611	733	2955	2591	330	1261	1088	638	4	9	0	1
sll1783	CHR	1189940	1190383	-	444	NA	761	1180	3038	2423	391	1271	990	501	3	4	6	1
slr1852	CHR	1190867	1191433	+	567	NA	871	1201	2890	3014	517	1174	1046	591	13	4	5	1
slr1853	CHR	1191445	1191786	+	342	NA	545	1087	2574	1904	227	643	531	268	3	3	0	0
slr1854	CHR	1191856	1192452	+	597	NA	930	903	2627	2475	276	1033	668	401	4	7	1	1
slr1855	CHR	1192485	1194308	+	1824	NA	2991	4241	12287	9496	1726	4126	3141	1877	20	18	7	1
slr1856	CHR	1194314	1194643	+	330	NA	582	593	1948	1725	174	419	412	179	1	3	1	1
slr1857	CHR	1194653	1196776	+	2124	glgX	1386	1733	4800	4418	769	1919	2084	1210	17	10	11	1
slr1859	CHR	1196836	1197162	+	327	NA	197	359	685	622	220	755	758	381	5	3	1	1
slr1860	CHR	1197262	1199166	+	1905	NA	454	831	1477	1149	427	1163	1251	908	7	6	2	1
slr1861	CHR	1199172	1199603	+	432	NA	135	236	401	332	86	277	267	184	3	2	0	1
slr1862	CHR	1199861	1200412	+	552	NA	95	131	195	116	66	166	130	120	0	0	1	2
sll1780	CHR	1200376	1201392	-	1017	NA	64	119	85	73	47	124	68	89	1	0	1	0
slr1863	CHR	1201494	1203014	+	1521	NA	210	235	260	243	173	639	407	486	1	2	1	0
slr1864	CHR	1203382	1204098	+	717	NA	121	167	172	168	103	325	176	266	2	0	2	0
slr1865	CHR	1204276	1205538	+	1263	NA	654	881	951	878	170	656	640	536	1	6	1	1
slr1866	CHR	1205546	1206547	+	1002	NA	373	492	516	340	205	529	317	469	2	3	3	0
slr1867	CHR	1206947	1207993	+	1047	trpD	1503	1999	2493	2176	314	674	712	722	4	7	9	3
sll1776	CHR	1208020	1208697	-	678	deoC	1390	1858	2082	1910	116	312	285	322	4	5	5	1
sll1775	CHR	1208749	1211202	-	2454	NA	2627	3792	4115	3464	512	1194	1018	1144	15	6	15	3
sll1774	CHR	1211638	1212420	-	783	NA	524	794	886	652	495	793	618	617	10	8	30	2
slr1869	CHR	1212609	1213358	+	750	NA	574	643	1101	1049	321	896	935	822	4	11	14	3
slr1870	CHR	1214188	1214937	+	750	NA	448	550	726	639	106	321	257	288	9	1	6	1
sll1773	CHR	1215453	1216151	-	699	NA	302	439	588	624	463	930	625	604	3	0	5	1
slr1871	CHR	1216281	1217168	+	888	NA	178	280	285	228	96	194	73	230	0	2	4	0
sll1772	CHR	1217156	1219624	-	2469	NA	5344	6911	4579	3513	328	786	1122	1045	7	6	6	1
sll1771	CHR	1219654	1220418	-	765	NA	6086	10286	6950	3319	820	1503	1859	1354	19	21	19	4
sll1770	CHR	1220473	1222230	-	1758	NA	7712	8626	6462	5441	567	1525	3584	2237	15	14	53	9
sll1769	CHR	1222610	1222927	-	318	NA	920	1289	1399	1179	96	190	486	245	6	2	7	1
ssl3383	CHR	1222937	1223209	-	273	NA	813	1071	1186	895	59	141	103	116	2	2	7	4
sll1768	CHR	1223666	1224646	-	981	NA	720	825	725	652	178	321	301	408	1	2	9	1
slr1874	CHR	1224777	1225841	+	1065	NA	1125	1668	1111	933	195	411	414	461	3	3	1	1
slr1875	CHR	1225928	1226566	+	639	NA	1254	1517	1966	1500	84	164	212	240	2	5	2	2
ssl3379	CHR	1226686	1226982	-	297	clpS	1584	1821	2445	1892	104	279	564	380	1	3	9	2
slr1876	CHR	1227090	1227563	+	474	NA	4091	4086	7168	6605	196	658	1493	1290	14	10	21	6
sll1767	CHR	1227591	1227932	-	342	rpsF	10738	14269	21462	21114	770	2172	6206	5880	35	47	64	21
slr1877	CHR	1228237	1229067	+	831	NA	1087	1570	1692	1492	214	539	611	509	6	5	19	7
slr1878	CHR	1229120	1229938	+	819	NA	871	1059	1252	1076	180	455	421	451	7	6	6	4
sll1766	CHR	1229971	1231167	-	1197	grrM	1353	1427	2562	2363	366	937	1044	881	14	10	9	3
sll1765	CHR	1231207	1231725	-	519	NA	335	530	547	370	157	361	280	249	3	6	9	2
sll1764	CHR	1231770	1232204	-	435	grrA	280	495	423	289	117	212	139	235	5	4	10	5
sll1763	CHR	1232271	1232675	-	405	grrA	551	671	698	615	264	603	381	369	6	2	9	1
sll1762	CHR	1232784	1233797	-	1014	NA	1239	1861	2389	1653	629	992	846	822	6	12	8	3
slr1879	CHR	1233784	1234512	+	729	NA	90	143	173	147	98	174	115	202	3	2	0	1
sll1761	CHR	1234509	1235063	-	555	NA	146	209	218	208	66	160	84	153	2	1	1	0
sll1760	CHR	1235136	1236056	-	921	thrB	1199	1235	1628	1314	173	403	335	459	6	8	6	4
slr1880	CHR	1236316	1237449	+	1134	NA	1230	1456	1584	1264	186	443	480	420	3	2	8	2
sll1758	CHR	1237543	1238988	-	1446	glmM	3611	4890	4297	2646	553	964	1353	1030	17	18	31	8
ssr3184	CHR	1239156	1239383	+	228	NA	695	893	871	773	316	553	1357	664	5	4	12	7
slr1881	CHR	1239490	1240212	+	723	NA	2778	4259	4239	3193	309	584	1703	858	4	3	16	3
slr1882	CHR	1240361	1241302	+	942	ribF	2522	2887	2590	2100	147	268	561	407	7	5	12	7
sll1757	CHR	1241313	1242131	-	819	NA	4374	7019	5506	4666	242	742	1071	622	8	12	21	8
ssr3188	CHR	1242336	1242605	+	270	NA	4474	6702	5642	5139	144	337	476	390	8	9	20	6
ssl3364	CHR	1242765	1242989	-	225	NA	25762	29007	18939	19009	2494	5524	7685	3622	31	27	76	26
slr1884	CHR	1243274	1244287	+	1014	trpS	2086	2310	2666	2207	394	866	1297	1037	8	2	5	1
slr1885	CHR	1244731	1245309	+	579	yqeK	1439	2030	2529	2146	261	603	827	589	7	5	8	3
slr1886	CHR	1245395	1245859	+	465	rsfS	1766	1900	1877	1834	1109	2138	3542	1994	7	8	31	2
sll1755	CHR	1245892	1247052	-	1161	NA	1520	1948	1620	1279	243	570	546	473	6	6	10	2
slr1887	CHR	1247192	1248154	+	963	hemC	4222	5376	6418	5298	346	865	1247	896	17	12	20	5
slr1888	CHR	1248284	1250176	+	1893	NA	1481	1800	2174	1785	267	614	495	684	3	5	8	2
slr2132	CHR	1250442	1252535	+	2094	pta	629	813	728	676	394	804	557	665	2	3	3	5
sll2015	CHR	1252593	1253207	-	615	NA	1098	1353	856	838	336	997	1047	785	5	8	12	2
sll2014	CHR	1253269	1253982	-	714	sfsA	1204	1459	891	776	100	311	434	363	5	2	17	7
sll2013	CHR	1254036	1254623	-	588	NA	2103	2445	2387	2138	303	779	998	825	5	7	68	21
sll2012	CHR	1254783	1255739	-	957	NA	3194	3530	4860	4268	551	1324	3006	1940	9	6	117	51
sll2011	CHR	1256125	1256751	-	627	NA	642	825	652	673	79	162	129	220	4	2	3	0
sll2010	CHR	1256905	1258263	-	1359	murD	2254	2739	2298	2250	237	567	853	773	4	7	9	5
sll2009	CHR	1258444	1259751	-	1308	NA	2279	2937	2155	1703	534	926	3174	1396	2	3	10	4
sll2008	CHR	1259760	1261052	-	1293	NA	3910	4412	3091	2473	582	1245	4561	1620	4	4	13	2
slr2135	CHR	1261355	1261993	+	639	NA	636	754	604	643	103	242	182	197	1	2	4	2
slr2136	CHR	1262049	1263260	+	1212	ispG	2571	2647	3869	4067	299	923	1765	1192	11	11	9	6
sll2007	CHR	1263414	1263830	-	417	NA	409	448	663	619	107	357	451	341	4	2	6	3
sll2006	CHR	1263823	1264179	-	357	NA	404	523	784	671	232	570	585	419	3	1	7	2
sll2005	CHR	1264328	1267564	-	3237	gyrB	10558	13198	16544	13008	1816	6137	7667	5618	31	39	56	17
ssl3829	CHR	1267693	1267950	-	258	NA	445	568	836	701	68	149	129	127	2	1	3	0
sml0007	CHR	1268189	1268308	-	120	NA	309	358	592	749	46	422	639	278	5	9	15	3
slr2141	CHR	1268388	1269410	+	1023	NA	767	1053	811	568	118	312	223	325	2	5	14	1
sll2003	CHR	1269407	1270960	-	1554	NA	1022	1324	1189	1049	611	1218	792	1191	3	11	13	6
slr2143	CHR	1271069	1272274	+	1206	NA	1400	1763	1565	1386	268	648	638	599	3	2	14	5
sll2002	CHR	1272370	1273248	-	879	NA	1339	1711	1452	1259	119	284	333	335	4	3	4	2
slr2144	CHR	1273408	1274313	+	906	NA	2568	3203	3702	3515	581	1389	1975	1246	7	14	19	9
slr1803	CHR	1274352	1275281	+	930	NA	744	1108	939	726	96	367	393	309	2	3	3	0
sll1710	CHR	1275372	1276157	-	786	NA	268	434	304	254	195	509	182	379	1	0	0	1
sll1709	CHR	1276236	1276982	-	747	NA	1235	1406	1476	1438	191	550	645	492	2	1	2	0
ssl3291	CHR	1277108	1277392	-	285	NA	825	811	933	899	139	365	399	214	7	0	5	3
sll1708	CHR	1277442	1278074	-	633	NA	432	423	532	467	149	253	242	247	8	3	13	4
slr1805	CHR	1278326	1280542	+	2217	NA	860	1051	1558	1283	492	825	490	843	9	9	29	15
sll1704	CHR	1280567	1281337	-	771	NA	357	416	357	367	72	159	120	173	1	1	4	1
sll1703	CHR	1281361	1283193	-	1833	sppA	1247	2161	1348	805	260	670	550	680	13	10	6	3
sll1702	CHR	1283190	1283702	-	513	NA	995	1268	1082	1160	176	343	416	361	7	4	21	6
slr1807	CHR	1283741	1284526	+	786	NA	436	570	786	579	155	333	343	287	2	3	5	0
slr1808	CHR	1284660	1285943	+	1284	hemA	3533	3391	6640	6847	856	2835	2342	1752	21	11	21	11
slr1809	CHR	1286105	1286902	+	798	NA	1336	1716	2417	1922	256	556	568	409	12	5	16	7
sll1699	CHR	1286868	1288763	-	1896	NA	2174	2747	1875	1480	271	797	817	828	12	6	10	3
sll1698	CHR	1288732	1289112	-	381	NA	596	1069	565	451	89	146	94	195	1	0	2	1
sll1697	CHR	1289389	1290354	-	966	NA	2196	3472	3244	2766	230	662	959	643	7	8	33	10
slr1811	CHR	1290496	1290957	+	462	NA	236	385	360	370	315	891	529	428	1	3	4	1
slr1812	CHR	1291080	1291556	+	477	NA	344	500	558	300	213	544	353	293	7	3	2	6
slr1813	CHR	1291631	1292092	+	462	NA	636	967	1048	942	508	1533	1236	983	0	10	13	5
slr1814	CHR	1292215	1292679	+	465	NA	538	931	904	759	290	979	863	693	6	3	8	3
slr1815	CHR	1292820	1293356	+	537	NA	1588	2672	3343	1926	349	761	428	342	16	10	23	4
slr1816	CHR	1293398	1295551	+	2154	NA	2856	3661	3037	2419	1036	2414	2104	1686	12	13	12	3
sll1696	CHR	1295568	1296380	-	813	NA	4716	5233	2483	2049	478	1795	1527	696	2	4	3	1
sll1695	CHR	1296382	1296894	-	513	NA	10442	17073	11272	10755	943	4748	3533	1515	6	5	5	2
sll1694	CHR	1296993	1297499	-	507	NA	286735	346526	374818	376824	60318	257031	320837	91659	243	204	163	38
sll1693	CHR	1297643	1298965	-	1323	NA	5502	9260	8483	6009	1049	2707	2362	1638	6	5	9	1
slr1818	CHR	1299120	1299725	+	606	NA	1179	1717	2062	1631	372	1044	1030	745	4	8	11	8
sll1692	CHR	1299729	1300166	-	438	NA	1050	1720	2456	1526	280	426	500	292	11	13	10	3
sll1691	CHR	1300159	1300611	-	453	NA	1666	3305	3029	897	1045	844	679	766	6	10	20	3
slr1819	CHR	1300661	1301656	+	996	NA	2823	3504	3030	1893	492	807	707	570	15	10	18	3
sll1689	CHR	1301671	1302780	-	1110	NA	3154	3607	3958	3619	709	1845	1910	1501	13	11	18	2
sll1688	CHR	1303295	1304596	-	1302	thrC	50223	53969	4474	4017	906	2960	1283	2329	69	76	134	41
slr1820	CHR	1305025	1306443	+	1419	NA	890	1132	509	448	253	541	258	552	0	0	4	1
sll1687	CHR	1306436	1309264	-	2829	NA	1423	1632	1747	1515	774	1602	1796	1740	8	8	30	2
slr1821	CHR	1309482	1310582	+	1101	rseP	2623	3700	3871	3226	360	860	1191	833	10	13	13	3
slr1822	CHR	1310575	1311234	+	660	nth	883	1211	1247	1056	109	248	259	229	4	6	4	3
slr1732	CHR	1311828	1312277	+	450	NA	758	1070	1463	1374	176	341	361	316	5	3	3	4
sll1631	CHR	1312309	1312803	-	495	NA	493	606	750	689	69	114	82	145	1	3	5	1
sll1630	CHR	1312843	1313268	-	426	NA	48	66	67	77	67	144	88	94	1	0	2	0
sll1629	CHR	1313278	1314747	-	1470	NA	838	1144	840	676	236	607	666	620	2	5	1	1
sll1628	CHR	1314909	1316063	-	1155	NA	1361	1576	1435	1282	322	809	1233	811	6	6	17	2
slr1734	CHR	1316227	1317654	+	1428	opcA	2176	2165	3056	2901	579	1099	1263	916	18	10	35	12
